# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.790925309062004089e-03 8.836717529296875000e+02 2.458778564453125000e+03 4.122169799804687500e+02 7.305441796779632568e-02 1.198496147990226746e-01 8.013091981410980225e-03 8.836717529296875000e+02 2.458778564453125000e+03 4.122169799804687500e+02 7.305441796779632568e-02 1.198496147990226746e-01
1.000000000000000000e+03 3.627735900878906250e+01 6.398188114166259766e+00 1.001185226440429688e+02 2.388430404663085938e+01 1.211907982826232910e+00 6.884477615356445312e+00 2.848427200317382812e+01 6.398188114166259766e+00 1.001185226440429688e+02 2.388430404663085938e+01 1.211907982826232910e+00 6.884477615356445312e+00
2.000000000000000000e+03 8.554401397705078125e+00 1.369050741195678711e+00 3.593153476715087891e+00 3.517583847045898438e+00 9.487299919128417969e-01 8.983280658721923828e-01 6.082747459411621094e+00 1.369050741195678711e+00 3.593153476715087891e+00 3.517583847045898438e+00 9.487299919128417969e-01 8.983280658721923828e-01
3.000000000000000000e+03 1.505053281784057617e+00 5.109344720840454102e-01 6.008351445198059082e-01 3.248610198497772217e-01 4.907853305339813232e-01 2.825269997119903564e-01 1.646444559097290039e+00 5.109344720840454102e-01 6.008351445198059082e-01 3.248610198497772217e-01 4.907853305339813232e-01 2.825269997119903564e-01
4.000000000000000000e+03 6.562918424606323242e-01 2.504341602325439453e-01 1.863709092140197754e-01 9.031724929809570312e-02 2.873868644237518311e-01 1.285042911767959595e-01 1.306827425956726074e+00 2.504341602325439453e-01 1.863709092140197754e-01 9.031724929809570312e-02 2.873868644237518311e-01 1.285042911767959595e-01
5.000000000000000000e+03 3.792310655117034912e-01 1.486486792564392090e-01 1.072971299290657043e-01 4.586239904165267944e-02 2.310198396444320679e-01 6.396895647048950195e-02 1.036469817161560059e+00 1.486486792564392090e-01 1.072971299290657043e-01 4.586239904165267944e-02 2.310198396444320679e-01 6.396895647048950195e-02
6.000000000000000000e+03 2.555527687072753906e-01 9.533019363880157471e-02 8.034437894821166992e-02 2.603898011147975922e-02 2.075912803411483765e-01 3.159986808896064758e-02 8.400666713714599609e-01 9.533019363880157471e-02 8.034437894821166992e-02 2.603898011147975922e-02 2.075912803411483765e-01 3.159986808896064758e-02
7.000000000000000000e+03 2.548462450504302979e-01 6.588485091924667358e-02 8.000311255455017090e-02 4.458966478705406189e-02 1.932044029235839844e-01 1.607698202133178711e-02 9.302377104759216309e-01 6.588485091924667358e-02 8.000311255455017090e-02 4.458966478705406189e-02 1.932044029235839844e-01 1.607698202133178711e-02
8.000000000000000000e+03 1.637941896915435791e-01 5.947099253535270691e-02 7.345569133758544922e-02 2.889909781515598297e-02 1.838065683841705322e-01 7.875497452914714813e-03 9.831135869026184082e-01 5.947099253535270691e-02 7.345569133758544922e-02 2.889909781515598297e-02 1.838065683841705322e-01 7.875497452914714813e-03
9.000000000000000000e+03 1.114611253142356873e-01 3.459076210856437683e-02 6.416321545839309692e-02 1.476029492914676666e-02 1.729423999786376953e-01 4.170045256614685059e-03 1.067167282104492188e+00 3.459076210856437683e-02 6.416321545839309692e-02 1.476029492914676666e-02 1.729423999786376953e-01 4.170045256614685059e-03
1.000000000000000000e+04 8.998504281044006348e-02 2.745472081005573273e-02 6.067120656371116638e-02 1.054813619703054428e-02 1.632087677717208862e-01 2.846328308805823326e-03 1.097096681594848633e+00 2.745472081005573273e-02 6.067120656371116638e-02 1.054813619703054428e-02 1.632087677717208862e-01 2.846328308805823326e-03
